Stock,Stock price,Strike,Price
MCD,90.25,90,2.09
X,20.28,20,1.58
MT,14.67,15,0.75
MSFT,29.74,30,1.07
AAPL,608.21,610,25.3
K,48.98,50,0.4
GE,19.62,20,0.39
BAC,7.48,8,0.22
PFE,22.44,23,0.18
XOM,83.11,85,0.9
^GSPC,1341.47,1350,22.5
